season_player_id,season_code,player_id,player,team_id,games_played,games_started,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,plus_minus,minutes_per_game,points_per_game,two_points_made_per_game,two_points_attempted_per_game,two_points_percentage,three_points_made_per_game,three_points_attempted_per_game,three_points_percentage,free_throws_made_per_game,free_throws_attempted_per_game,free_throws_percentage,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,turnovers_per_game,blocks_favour_per_game,blocks_against_per_game,fouls_committed_per_game,fouls_received_per_game,valuation_per_game,plus_minus_per_game
E2017_P003733_PAM,E2017,P003733,"ABALDE, ALBERTO",PAM,25.0,9.0,478.5,190,43,89,28,54,20,23,12,40,52,42,8,32,0,5,44,36,172,-22,19.14,7.6,1.72,3.56,0.483,1.12,2.16,0.519,0.8,0.92,0.87,0.48,1.6,2.08,1.68,0.32,1.28,0.0,0.2,1.76,1.44,6.88,-0.88
E2019_P003733_PAM,E2019,P003733,"ABALDE, ALBERTO",PAM,23.0,4.0,499.3,179,49,97,15,53,36,49,32,60,92,38,11,19,0,8,29,40,205,12,21.71,7.78,2.13,4.22,0.505,0.65,2.3,0.283,1.57,2.13,0.735,1.39,2.61,4.0,1.65,0.48,0.83,0.0,0.35,1.26,1.74,8.91,0.52
E2020_P003733_MAD,E2020,P003733,"ABALDE, ALBERTO",MAD,39.0,23.0,761.2,281,47,100,50,115,37,44,11,93,104,91,21,38,0,6,60,57,325,41,19.52,7.21,1.21,2.56,0.47,1.28,2.95,0.435,0.95,1.13,0.841,0.28,2.38,2.67,2.33,0.54,0.97,0.0,0.15,1.54,1.46,8.33,1.05
E2021_P003733_MAD,E2021,P003733,"ABALDE, ALBERTO",MAD,30.0,19.0,563.4,179,40,90,25,74,24,32,20,69,89,44,14,33,0,2,56,35,163,65,18.78,5.97,1.33,3.0,0.444,0.83,2.47,0.338,0.8,1.07,0.75,0.67,2.3,2.97,1.47,0.47,1.1,0.0,0.07,1.87,1.17,5.43,2.17
E2022_P003733_MAD,E2022,P003733,"ABALDE, ALBERTO",MAD,25.0,10.0,345.0,63,10,27,9,36,16,24,10,40,50,38,7,14,0,2,41,20,69,41,13.8,2.52,0.4,1.08,0.37,0.36,1.44,0.25,0.64,0.96,0.667,0.4,1.6,2.0,1.52,0.28,0.56,0.0,0.08,1.64,0.8,2.76,1.64
E2023_P003733_MAD,E2023,P003733,"ABALDE, ALBERTO",MAD,24.0,9.0,308.0,86,11,22,19,46,7,8,6,39,45,16,10,5,1,2,25,10,97,46,12.83,3.58,0.46,0.92,0.5,0.79,1.92,0.413,0.29,0.33,0.875,0.25,1.62,1.88,0.67,0.42,0.21,0.04,0.08,1.04,0.42,4.04,1.92
E2024_P003733_MAD,E2024,P003733,"ABALDE, ALBERTO",MAD,8.0,5.0,117.2,49,10,18,8,19,5,5,1,12,13,7,1,5,0,0,13,4,37,14,14.65,6.12,1.25,2.25,0.556,1.0,2.38,0.421,0.62,0.62,1.0,0.12,1.5,1.62,0.88,0.12,0.62,0.0,0.0,1.62,0.5,4.62,1.75
E2011_P003527_CTU,E2011,P003527,"ABASS, AWUDU",CTU,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E2012_P003527_CTU,E2012,P003527,"ABASS, AWUDU",CTU,2.0,0.0,36.8,7,2,7,1,5,0,0,6,6,12,0,2,0,0,1,2,0,9,-15,18.38,3.5,1.0,3.5,0.286,0.5,2.5,0.2,0.0,0.0,0.0,3.0,3.0,6.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,4.5,-7.5
E2016_P003527_MIL,E2016,P003527,"ABASS, AWUDU",MIL,23.0,11.0,369.5,105,18,43,16,38,21,25,17,27,44,12,9,15,6,3,45,23,85,-85,16.07,4.57,0.78,1.87,0.419,0.7,1.65,0.421,0.91,1.09,0.84,0.74,1.17,1.91,0.52,0.39,0.65,0.26,0.13,1.96,1.0,3.7,-3.7
E2017_P003527_MIL,E2017,P003527,"ABASS, AWUDU",MIL,10.0,0.0,47.6,9,2,7,1,8,2,3,5,6,11,2,5,2,0,1,5,1,7,1,4.76,0.9,0.2,0.7,0.286,0.1,0.8,0.125,0.2,0.3,0.667,0.5,0.6,1.1,0.2,0.5,0.2,0.0,0.1,0.5,0.1,0.7,0.1
E2022_P003527_VIR,E2022,P003527,"ABASS, AWUDU",VIR,7.0,3.0,117.1,47,8,14,10,17,1,1,1,6,7,5,4,5,2,0,9,2,40,-6,16.73,6.71,1.14,2.0,0.571,1.43,2.43,0.588,0.14,0.14,1.0,0.14,0.86,1.0,0.71,0.57,0.71,0.29,0.0,1.29,0.29,5.71,-0.86
